Latitude,Longitude,PS,WS50M,Z0M,T10M
39.856174,-74.781677,101.07714285714285,5.51,0.55,12.267142857142858
44.434105,-121.343399,90.43285714285716,4.542857142857143,0.34,8.755714285714285
39.274498,-79.461853,94.34857142857145,4.632857142857143,2.06,9.72
43.021885,-105.760345,83.70571428571428,7.804285714285714,0.03,8.641428571428571
29.590729,-103.745575,89.2942857142857,5.177142857142857,0.02,19.82857142857143
44.157074,-88.004852,98.46142857142856,7.21,0.04,7.712857142857142
42.521606,-71.848267,99.07285714285716,4.458571428571429,2.14,8.837142857142856
39.101414,-105.479828,72.75285714285714,5.9157142857142855,0.05,4.545714285714285
41.345879,-87.210236,99.20857142857145,6.922857142857143,0.04,10.295714285714284
45.797649,-85.185547,99.13714285714286,5.891428571428572,0.62,6.618571428571428
39.846214,-98.233429,95.5085714285714,7.167142857142857,0.05,11.725714285714286
43.636215,-87.792542,99.40428571428572,7.767142857142857,0.0,8.825714285714286
35.34441,-116.611832,92.04857142857142,5.311428571428571,0.02,18.24
46.885384,-87.933624,98.48142857142857,6.788571428571428,0.42,6.027142857142857
43.56982,-99.457001,95.21571428571428,7.192857142857143,0.04,9.76142857142857
43.605209,-95.884308,96.1542857142857,7.29,0.04,7.928571428571429
36.847172,-102.532288,87.32285714285715,7.537142857142856,0.04,13.987142857142857
45.477894,-104.37088,89.65285714285713,7.31,0.03,8.028571428571428
43.082161,-95.35025,96.56142857142858,7.211428571428572,0.04,8.617142857142857
46.749363,-104.401566,91.17142857142858,7.359999999999999,0.03,7.727142857142857
36.445187,-100.450989,91.86,7.52,0.04,14.832857142857142
34.845161,-104.148529,85.26571428571428,6.961428571428571,0.03,14.60142857142857
40.060177,-86.395447,98.5942857142857,6.572857142857143,0.05,11.165714285714284
35.226276,-113.386765,84.80142857142857,5.822857142857143,0.04,14.68142857142857
44.9048,-101.118744,93.97714285714288,7.07,0.03,8.605714285714285
41.851456,-90.993286,98.58,6.777142857142857,0.05,9.304285714285712
42.190697,-80.83844,98.89285714285714,5.880000000000001,0.86,10.211428571428572
45.689106,-95.293274,97.03714285714284,7.061428571428571,0.04,6.375714285714285
35.84063,-102.112671,89.33571428571429,7.372857142857143,0.04,14.718571428571428
38.771446,-105.620667,72.75285714285714,5.9157142857142855,0.05,4.545714285714285
44.497643,-86.170227,99.08571428571427,7.461428571428572,0.04,8.187142857142858
43.703701,-83.02771,98.91714285714284,7.22,0.04,8.561428571428571
