Latitude,Longitude,Month,Mean Power Proportion,SW_DWN,LW_DWN,SW_DIFF,SW_DNI,Cloud,Clearness,Humidity,Precipitation,Temp
34.05,-116.85,aug,0.29938456621004567,7.74,8.26,1.0,10.34,8.14,0.75,31.22,0.11,25.55
34.05,-116.85,sep,0.2744346118721461,6.43,7.92,1.08,8.92,13.85,0.72,30.12,0.12,23.18
34.05,-116.85,oct,0.2310365296803653,4.94,7.08,1.02,7.73,23.04,0.69,44.43,0.12,15.65
34.05,-116.85,nov,0.21417479452054794,3.85,6.72,0.89,7.0,26.98,0.7,37.39,0.03,13.52
34.05,-116.85,dec,0.1880988127853881,3.25,6.12,0.81,6.43,27.95,0.68,40.44,0.23,8.0
34.65,-115.15,jan,0.20546598173515981,3.6,6.47,0.86,6.69,32.04,0.69,33.81,0.01,10.0
34.65,-115.15,feb,0.24847054794520548,4.56,6.71,1.28,6.85,39.81,0.69,23.45,0.04,12.48
34.65,-115.15,mar,0.2404501712328767,5.29,6.95,1.99,5.76,52.58,0.63,38.08,0.14,12.4
34.65,-115.15,apr,0.31749520547945204,7.19,7.3,1.53,8.76,24.19,0.72,31.66,0.08,18.3
34.65,-115.15,may,0.3125286529680365,8.01,8.13,1.74,9.21,25.24,0.72,19.34,0.01,26.21
34.65,-115.15,jun,0.28901849315068495,8.05,8.83,1.73,9.05,28.74,0.7,17.69,0.05,31.77
34.65,-115.15,jul,0.27567431506849316,7.4,10.02,1.93,7.7,40.06,0.66,29.74,0.46,34.53
34.65,-115.15,aug,0.2859139269406392,7.62,8.97,1.13,9.87,14.66,0.74,27.15,0.49,31.76
34.65,-115.15,sep,0.27826900684931505,6.41,8.49,1.08,8.8,18.63,0.72,25.61,0.31,27.4
34.65,-115.15,oct,0.24161261415525115,4.87,7.58,1.01,7.57,26.05,0.68,31.47,0.4,19.79
34.65,-115.15,nov,0.22469200913242005,3.8,7.05,0.89,6.86,28.68,0.69,26.83,0.0,15.32
34.65,-115.15,dec,0.19946575342465753,3.19,6.47,0.83,6.19,31.55,0.67,34.87,0.02,8.73
35.35,-117.95,jan,0.168895955642531,3.34,6.25,0.87,6.19,38.15,0.66,61.32,1.21,4.75
35.35,-117.95,jan,0.21318932209343167,3.34,6.25,0.87,6.19,38.15,0.66,61.32,1.21,4.75
35.35,-117.95,feb,0.19324713447022643,4.39,6.35,1.11,6.98,37.8,0.68,46.06,0.76,6.89
35.35,-117.95,feb,0.24532314717246223,4.39,6.35,1.11,6.98,37.8,0.68,46.06,0.76,6.89
35.35,-117.95,mar,0.19760087596682507,5.28,6.43,1.79,6.18,49.34,0.64,65.06,1.76,4.8
35.35,-117.95,mar,0.2563584474885845,5.28,6.43,1.79,6.18,49.34,0.64,65.06,1.76,4.8
